가끔씩 입을 일이 생겨서 샀는데 가성비는 물론 핏도 너무 이뻐요,5.0
싸이즈가 너무 잘맞고 깔끔해요 지금구입하세요,5.0
사이즈는 적당하긴한데.. 혹시라도 안에 두껍게 입으시는 분들은 한치수 크게 입으시는 것을 추천드려요,5.0
기본중의 기본 활용도가 좋아서 자주 입을것 같아요,5.0
기본으로 갖고잇기 좋아요 어디에든 잘어울려요,5.0
아주 이쁘고 원단도 좋아요  다음에 친구 선물로 사줄 생각입니당~,5.0
역시 무탠다드! 핏도 딱떨어지고 가성비 너무좋아요,5.0
가나다라마바사아자차카타파하기니디리미비시이지,5.0
핏도 오버핏은 아니지만 체형에 맞게 잘 나왔고 셋업으로 사니까 중요한 자에서 활용 좋을것 같습니다,5.0
기본적인 블레이더 하나 필요하시면 꼭 사시는 걸 추천드려요,5.0
늦가을에 입기에 적당한 두께와 재질이라고 생각합니다.,5.0
오버핏으로 시캿다가 베이식으로 다시 구매합니다. 딱 정사이즈네요! 셋업으로 잘어울리고 이가격에 퀄리티 좋아요!,5.0
굳국 좋아요 잘어울린다고들 그러네요 자주이ㅂ을거같스진다,5.0
"정장으로 입을라고 샀습니다 !
첫 출근복으로 성공 좋아요",5.0
"기본템으로 하나씩 가지고 있길래 구매했는데
어디에 입어도 잘어울리네요.",4.0
키에비해 어깨가 좀 넓어 어깨가 잘은 맞지 않지만 일반체형이 입으면 딱 떨어지는 블레이저 인거같네요 믿고 사세요,5.0
사이즈가 클까봐 걱정했지만 막상 입어보니 저에게 딱 적합한 사이즈 였습니다. 사이즈 후기가 도움이 많이 되었습니다.,5.0
사이즈 딱 맞다: 검은색 사고 또 사는것이다. 177에게 라지가 딱인듯 싶다 한겨울에는 얇다,5.0
기대이상으로 너무 만족해요! 다음번에 재구매 의향 있습니다,4.0
"음 너무좋습니다일단
그냥 잘맞앗어여저한테 굿",5.0
"옷이 무난하게 잘 어울릴거 같네요
사이즈 딱 맞아서 좋아요~",5.0
재질 부드러움 두께 얇은편임 봄 가을 좋고요 약간 작은데 입어집니다,4.0
회사에서 일상적으로 입기 아주 좋은 블레이저 입니다.,4.0
"재질좋은 기본적인 블레이져입니다.
배송은 매우 아주 아쉽습니다.",5.0
활동성이 굉장히 좋은 옷입니다. 출근할때 편하게 입으려고 사봤는데 너무 편하네요! 너무 만족합니다! 셋업으로 입으실거면 정사이즈로 사는거 추천드려요! 저는 수트기준 103정도 입어서 xl 구매했습니다,5.0
입문용으로 입기 매우 좋은것 같습니다. 기장 크기 다 적당해요,5.0
팔은 조금 짧은데 나머지는 다 잘 맞네요 마음에 듭니다,4.0
"상품 너무 마음에들어요!!  역시 괜히 인기 있는ㄱ
아니군요 ㅎ  또 구매하겠습니다 ㅎㅎ",5.0
딱 정핏으로나오고 아무때나 입기 편합니다 마음에듬,5.0
배송도 생각보다 빨리왔고 제품도 만족합니다 좋아요,5.0
언제나 무신사에서 사면 만족스럽습니다 감사합니다,5.0
블래이저는 처음 사는데 가성비로 가장 좋은거같네요,5.0
생각보다 색깔도 괜찮고 품질도 좋은데 사이즈는 조금 타이트 하네요,4.0
친구한테 선물한건데 마른체형이라 혹시 좀 클까했지만 딱좋네요 너무 핏하면 왜소해보이던데 이건 그런느낌이없습니다,5.0
캐쥬얼느낌이라기 보단 진짜 정장같은 느낌이네요,5.0
바지 사는김에 세트로 같이 샀습니다 잘 입을게요!!!,5.0
"생각보다 핏이 이쁘네요 
소매 살짝만 수선하니까 완벽합니다~~",5.0
기본 블레이저로 딱 좋습니다. 사이즈도 나쁘지 않네요,4.0
한치수 무조건 크게 사는게 맞아요. 어깨때문에 정치수는 무리있습니다.,5.0
가성비하면 무탠다드!! 딱히 특별한 점은 없지만 그게 장점인듯 매우 무난무난하고 어디에나 잘 어울림 무엇보다 가성비는 끝판왕 수준,5.0
기본템으로 블랙 블레이저 고민중이었는데 사길 정말 잘한것같아요,5.0
덩치 약간 있는편인데 xl입으니까 길이랑 어깨 덕당하네요,5.0
작지도 크지도 않은 딱 원하던 핏입니다. 다른 핏이랑 고민하다가 기본 골랐는 데 후회없는 선택이였네요,5.0
"가격대비 괜찮습니다
신축성이 있어서 입기 편할 것 같아요",5.0
블레이저 하나 필요했는데 클래식한 아이템을 구매할 수 있어서 좋았습니다!,5.0
얇지도 두껍지도않아요 입으면 핏 예뻐요. 또 살 의향있어요,4.0
사이즈도 좋고 핏이 너무 예뻐요 잘입겠습니다 감사합니다~,5.0
운동한 사람들은 제일 큰 사이즈 사도 어깨가 좀 끼네요.. 하나 더 큰거 있으면 좋을텐데 아쉬워요,4.0
"행사용으로 잘입고있어요
입문 블레이저로 추천드려요",5.0
수트핏이 좋습니다. 이정도 가격이면 충분히 혜자죠.,4.0
왜 친구들이 무탠다드 블레이저 하나씩 있는지 알게됐습니다 망설이시는 분들 꼭 구매하세요,5.0
정말 베이직하게 입을 수 있는 블레이저에요 색감도 나쁘지 않고 좋네요,5.0
"슬랙스 위에 입을 기본 블레이저 사고 싶어서 후기가 좋은 무탠다드 블레이저로 주문해봤습니다.

L하니깐 딱 이쁜 핏이 나오네요

원단도 짱짱하고 완전 만족합니당.",5.0
무탠다드 블레이저 너무 만족해서 그레이도 샀어요 오버하게 입으려고 라지 샀는데 만족해요!,5.0
원단 쏘쏘 색감 쏘쏘 사이즈 굿 가성비 좋습니다. 살만해요,5.0
사이즈가 적당하여 세미 오버핏으로 연출 가능합니다.,5.0
가격에 비해 재질이 너무 좋네요 역시 무탠다드에요,5.0
어깨가 작다는 글이 많아서 좀 크게 샀는데 너무 큰거 같아요,3.0
